ulasan,kategori,clean
tingkatkan lagi shopy kamu hebat,Positif,tingkat shopy kamu hebat
sangat berguna dan baik,Positif,sangat guna baik
pesanan selalu sesuai,Positif,pesan selalu sesuai
mantap,Positif,mantap
ok,Positif,
good apk shopee 👍,Positif,good apk shopee
Alfamart dihati❤‍🔥❤‍🔥❤‍🔥❤‍🔥,Positif,alfamart hati
sangat puas belanja selain murah dan dapat banyak diskon pengirimannya pun cepat,Positif,sangat puas belanja murah banyak diskon kirim cepat
pengirimannya lama banget tidak sesuai ekspektasi,Negatif,kirim lama banget sesuai ekspektasi
sangat bagus,Positif,sangat bagus
belanja lebih mudah aman dan barangnya pun bagus bagus...,Positif,belanja lebih mudah aman barang bagus bagus
cara berhenti berlanganan vpn premium gmna min???,Positif,cara henti berlanganan vpn premium gmna min
belanja jadi mudah dengan shoppe,Positif,belanja jadi mudah shoppe
membantu syekali....,Positif,bantu syekali
ok,Positif,
tingkatkn lagi,Positif,tingkatkn
mantap,Positif,mantap
padahal sudah lunas semua tpi limit paylater dan spinjam di bekukan,Negatif,padahal lunas semua tpi limit paylater spinjam beku
lovyu bngt,Positif,lovyu bngt
semoga toko2 di shopee selalu amanah,Positif,moga toko shopee selalu amanah
aku semenjak donlod Shopee jadi cehkot trs di shopee,Positif,aku semenjak donlod shopee jadi cehkot trs shopee
separoh masalah di selese in shopee... tengkiuu,Positif,separoh masalah selese in shopee tengkiuu
termakasih🙏,Positif,termakasih
selama pake Shopi ga pernah gagal beli barang 👍,Positif,lama pake shopi ga pernah gagal beli barang
"saya coba pake itu alat manicure satu persatu , terasa manfaat nya",Positif,coba pake alat manicure satu satu asa manfaat nya
baik,Positif,baik
"gk kayak dulu, expedisi yg dipakai kok ndk pernah sampai ngirim barang ke alamat saya, dulu enak waktu masih join dgn jnt",Negatif,gk kayak dulu expedisi yg pakai kok ndk pernah ngirim barang alamat dulu enak waktu join dgn jnt
Belanja,Positif,belanja
sangat baik,Positif,sangat baik
"YuuSeh Channel, belanja lebih mudah dan gampang,banyak pilihan dan yg paling suka gratis ongkir tentunya terimakasih Shopee",Positif,yuuseh channel belanja lebih mudah gampangbanyak pilih yg paling suka gratis ongkir tentu terimakasih shopee
"tolong dong pihak shoope hapus saja ekspedisi Anteraja, pengiriman lama sekali, saya harus ganti rugi 2 kali lipat karna barang pesanan org tidak datang tepat waktu, ternyata dari ulasan orang di Anteraja banyak yg mengeluh dan meminta Anteraja diputus kontrak dengan shoope.",Positif,dong pihak shoope hapus ekspedisi anteraja kirim lama sekali ganti rugi kali lipat karna barang pesan org datang tepat waktu nyata ulas orang anteraja banyak yg keluh minta anteraja putus kontrak shoope
pingin di sapa pihak shopee,Positif,pingin sapa pihak shopee
aplikasi yang sangat bagus,Positif,aplikasi sangat bagus
"Shopee error, pesanan sudah sampai di kota tujuan malah putar balik ke kota lain, trus nunggu lagi sampai beberapa hari, perbaiki ekspedisi nya, masa barang sudah sampai di bawa ke tempat lain lagi, ketika sampai rusak pula barng nya krna d bawa ke sana sini, tambah lagi banyak pembohongan,pesanan di tunda di bilang alamat tidak lengkap, di foto paket nya masih di kantor bukan di rumah saya,memang sudah kelewatan ini shopee",Negatif,shopee error pesan kota tuju malah putar balik kota trus nunggu beberapa hari baik ekspedisi nya masa barang bawa tempat rusak barng nya krna d bawa sana sini tambah banyak pembohonganpesanan tunda bilang alamat lengkap foto paket nya kantor bukan rumah sayamemang lewat shopee
"saya sangat puas dengan berbelanja menggunakan aplikasi Shopee, pelayanan kurir baik, sopan, pengiriman tepat waktu, barang sesuai dengan yang difoto. semoga semakin maju dan berkembang.",Positif,sangat puas belanja guna aplikasi shopee layan kurir baik sopan kirim tepat waktu barang sesuai foto moga makin maju kembang
mantap Shopee,Positif,mantap shopee
sangat cepat dan bagus,Positif,sangat cepat bagus
aplikasi yg sangat membantu untuk belanja dan ongkir nya murah,Positif,aplikasi yg sangat bantu belanja ongkir nya murah
"senang belanja di shopee,byk diskon dan mudah",Positif,senang belanja shopeebyk diskon mudah
aneh Shopee sekarang...transaksi sya di batalkan otomatis terus oleh sistem.. alasan Di curigai melakukan transaksi curang? padahal sya Pake akun adik & Istri sya... apa salahnya coba sya ajak sanak sodara belanja di shoope? Kan Bisa Di batasi 1 akun Bisa Pake brp kali promonya? Bukan Justru membatalkan transaksi sepihak bgtu? Emangnya sya lg Nipu? Kan sya Hanya memanfatkan promo yg di berikan Oleh pihak Shopee? buat apa Ngasih Promo klo Ngga bisa Di Pakai.,Negatif,aneh shopee sekarangtransaksi sya batal otomatis terus sistem alas curiga laku transaksi curang padahal sya pake akun adik istri sya apa salah coba sya ajak sanak sodara belanja shoope kan batas akun pake brp kali promonya bukan justru batal transaksi pihak bgtu emang sya lg nipu kan sya memanfatkan promo yg ikan pihak shopee buat apa ngasih promo klo ngga pakai
bagus,Positif,bagus
I like Shoope and Good seller,Positif,i like shoope and good seller
belanja mudah,Positif,belanja mudah
makin hari makin lelet pengiriman barang gara gara kurir SPX standar,Negatif,makin hari makin lelet kirim barang gara gara kurir spx standar
sangat membantu segala hal kebutuhan.,Positif,sangat bantu segala butuh
"aku kasih bintang 2 karna pengiriman ny udah ga ada JNT, aku doyan blanja di shopee sampe spay later dan dana nya ku aktifkan , tapi semenjak pengiriman ga ada lagi jnt aku merasa tidak puas.... soal nya pengiriman shopee express itu lemot banget masa mesan dari di kota sama tapi sampe nya 1minggu KA ga lucu, biasa nya aku pake jnt pengiriman kota yg sama cuma 2h paling lama bisa 1hari Udah sampe ,,,, pokok nya ga oke lah sekarang pengiriman nya lemot banget",Negatif,aku kasih bintang karna kirim ny udah ga jnt aku doyan blanja shopee sampe spay later dana nya ku aktif semenjak kirim ga jnt aku rasa puas soal nya kirim shopee express lot banget masa mesan kota sama sampe nya minggu ka ga lucu biasa nya aku pake jnt kirim kota yg sama cuma h paling lama hari udah sampe pokok nya ga oke lah sekarang kirim nya lot banget
shopee luar negri dari China tolong di buka lagi ya!!!,Positif,shopee luar negri china buka
pengirimannya cepat .super murah barang berkualitas.,Positif,kirim cepat super murah barang kualitas
"bagussss bett, platform online yang termurah, banyak gratis ongkir nya.",Positif,bagussss bett platform online murah banyak gratis ongkir nya
pelayanan sangat baik,Positif,layan sangat baik
kenapa sekarang begitu buka aplikasi langsung di arahkan ke shopee video si? udah mah suka lemot pula. JELEK,Negatif,sekarang buka aplikasi langsung arah shopee video si udah mah suka lot jelek
"Pengiriman lama, tidak sesuai dengan estimasi yang dijanjikan, respon cs tidak memberikan solusi mengenai kendala yang di alami",Negatif,kirim lama sesuai estimasi janji respon cs beri solusi kena kendala alami
mantap,Positif,mantap
banyak promo cuma kurang untuk pembayaran dompet digital,Positif,banyak promo cuma kurang bayar dompet digital
Semoga amanah.,Positif,moga amanah
shopee memang luar biasa...,Positif,shopee memang luar biasa
"pengiriman cepat tanpa ongkir lagi, tinggal duduk di rumah barang dteng... banyak promo potongan harga, dan barangnya lengkap lgi",Positif,kirim cepat ongkir tinggal duduk rumah barang dteng banyak promo potong harga barang lengkap lgi
SEMUA JUALAN HARGANYA TERLALU MAHAL. BEDA DGN YG LAIN.,Negatif,semua jual harga terlalu mahal beda dgn yg
"bagus, apk nya tpi bnyk bug jdi mengganggu buat liat belanja dn kurangi iklannya",Positif,bagus apk nya tpi bnyk bug jdi ganggu buat liat belanja dn kurang iklan
memuaskan semoga selalu jadi andalan,Positif,muas moga selalu jadi andal
layanan kurir nya ada oknum yang tololl barang blom sampai bilang nya saya gak mau bayar dan gak bisa di hubungi.. barang di balikin ke toko.. alasan sampah.. kok bisa orang tolol jadi kurir..,Negatif,layan kurir nya oknum tololl barang blom bilang nya gak mau bayar gak hubung barang balikin toko alas sampah kok orang tolol jadi kurir
mantap,Positif,mantap
Terima kasih shopee,Positif,terima kasih shopee
bagus,Positif,bagus
lebih cepat lebih baik lagi ... kurir Rama,Positif,lebih cepat lebih baik kurir rama
top,Positif,top
"di kasih voucher cashback ga bisa di pake, najis cuma pemanis doang",Negatif,kasih voucher cashback ga pake najis cuma man doang
memuaskan,Positif,muas
Sampai saat ini masih kecintaan sama aplikasi shopee gak hanya murah ongkir nya pun juga kadang malah bisa gratis ongkir.. ttp di pertahanin ya shopee,Positif,cinta sama aplikasi shopee gak murah ongkir nya kadang malah gratis ongkir ttp pertahanin shopee
seeepppp,Positif,seeepppp
Aplikasi sangat rekomendasi untuk jual beli online,Positif,aplikasi sangat rekomendasi jual beli online
puas belanja di shopee byk pilihan dan byk disc free ongkirnya,Positif,puas belanja shopee byk pilih byk disc free ongkirnya
mantaffffffffffff,Positif,mantaffffffffffff
Shopee aplikasi belanja terbaik....menurut saya....klw mau belanja di shopee aja....pengiriman cepat dan tepat dan banyak fitur2nya...dijamin ok.. shopee yg terbaik.... paket dikirim dan tiba dgn cepat..... mantap 👍👍,Positif,shopee aplikasi belanja terbaikmenurut sayaklw mau belanja shopee ajapengiriman cepat tepat banyak fiturnyadijamin shopee yg baik paket kirim tiba dgn cepat mantap
shopee info pengirimannya tepat dn aqurat,Positif,shopee info kirim tepat dn aqurat
mantap🤗👍👍👍,Positif,mantap
barang baguss...pengiriman cepatt . 👍👍👍👍👍👍,Positif,barang bagusspengiriman cepatt
baik dan amanah,Positif,baik amanah
bagus,Positif,bagus
barang selalu asli dan cepat sampai... nice.🤗🤗,Positif,barang selalu asli cepat nice
"kenapa ya akhir2 ini shopee pengirimannya kok lambat banget ..,?",Positif,akhir shopee kirim kok lambat banget
adanya bug ketika saya melihat live koin sudah saya dapatkan tapi tidak muncul padahal sudah saya refresh dan update,Negatif,ada bug lihat live koin dapat muncul padahal refresh update
baik,Positif,baik
Sangat bagus d,Positif,sangat bagus d
selalu mantap,Positif,selalu mantap
mantap shopee ada COD dan selalu ada gratis ongkir...terima kasih,Positif,mantap shopee cod selalu gratis ongkirterima kasih
sip ccok,Positif,sip ccok
ok,Positif,
good aplikasi,Positif,good aplikasi
maap saya kasih bintang satu expedisi pengiraman nya jelek ga sesuai estimasi yang tertera dalam pengiriman coba di perbaiki lagi.,Negatif,maap kasih bintang satu expedisi iram nya jelek ga sesuai estimasi tera kirim coba baik
pengiriman nya lancar bnyak promo jga .. bnyak gratis ongkirnya jga top deh,Positif,kirim nya lancar bnyak promo jga bnyak gratis ongkirnya jga top deh
keren,Positif,keren
kalau shopee emang amanah dan tolong para penjual penipu itu di hapus kak,Positif,kalau shopee emang amanah jual tipu hapus kak
jos,Positif,jos
ok mantab,Positif,mantab
"bagus, barang yg datang sesuai pesanan....",Positif,bagus barang yg datang sesuai pesan
shopee mantap dah👍👍👍,Positif,shopee mantap dah
pesanan cepat&akurat,Positif,pesan cepatakurat
Naikin donk limit bagi pengguna yang lancar pembayarannya.,Positif,naikin donk limit guna lancar bayar
shopeenya bagus tolong lapak atau toko yg kurang recommended dicek ulang ...,Positif,shopeenya bagus lapak toko yg kurang recommended cek ulang
sangat mantap,Positif,sangat mantap
sangat suka n nyaman pkek sope.. puas vlnja d sope,Positif,sangat suka n nyaman pkek sope puas vlnja d sope
Aplikasi ini sangat bagus dan membantu saya untuk belanja lebih mudah... apalagi bnyak gratis ongkir nya weee mantab kali lh pokok nya,Positif,aplikasi sangat bagus bantu belanja lebih mudah bnyak gratis ongkir nya weee mantab kali lh pokok nya
sngt mmbntu sya utuntuk berbelanja,Positif,sngt mmbntu sya utuntuk belanja
klo kita bisa memilih dengan bijak insyaallah tidak akan zonk.. terimakasih shopee sudah mempermudah.. semoga selalu banyak gratis ongkir 😁😁✌️❤️❤️❤️,Positif,klo pilih bijak insyaallah zonk terimakasih shopee mudah moga selalu banyak gratis ongkir
good job,Positif,good job
gratis ongkir banyak penipuan,Negatif,gratis ongkir banyak tipu
barang sesuai pesanan. pengiriman cepat.,Positif,barang sesuai pesan kirim cepat
terima kasi sipinjam udh di acc butuh mendadak,Positif,terima kasi sipinjam udh acc butuh dadak
saya mau belanja jadinya enak,Positif,mau belanja jadi enak
suka sekali belanja di shopee,Positif,suka sekali belanja shopee
good,Positif,good
mantap,Positif,mantap
selalu sesuai ekspektasi 😊,Positif,selalu sesuai ekspektasi
keren,Positif,keren
mantul,Positif,mantul
"kecewa dengan shopee yang kerja sama dengan jasa pengiriman yang lelet JNE, biasanya pengiriman 2 atau 3 hari paling lama sekarang 5 hari aja kaga sampe""",Negatif,kecewa shopee kerja sama jasa kirim lelet jne biasa kirim hari paling lama sekarang hari aja kaga sampe
"cepat, berkualitas dan nergaransi",Positif,cepat kualitas nergaransi
"iya produk rokok elektrik di larang, tp obat kuat, alat bantu s3x bebas .. anak kecil jg bs akses gimana lah?? kwkwkwkw",Negatif,iya produk rokok elektrik larang tp obat kuat alat bantu sx bebas anak kecil jg bs akses gimana lah kwkwkwkw
sekarang lmyn bagus pengiriman mkin cepat,Positif,sekarang lmyn bagus kirim mkin cepat
mantapppp,Positif,mantapppp
aplikasi belanja yg sangat membantu,Positif,aplikasi belanja yg sangat bantu
"saya seller, tolong pihak shoppe paket saya di kembalikan. klo emang hilang, ya udh diganti dengan nominal sesuai harga barang tsb. saya kan pake asuransi. jangan ngambang gini lah .. sudah mau 2 bulan ga jelas . saya udh di potong 15rb untuk barang retur. tapi paketnya ga sampe² . itu kan barang mahal .tolong di kembalikan!!",Negatif,seller pihak shoppe paket kembali klo emang hilang udh ganti nominal sesuai harga barang tsb kan pake asuransi jangan ngambang gin lah mau bulan ga jelas udh potong rb barang retur paket ga sampe kan barang mahal kembali
sangat bagus dan terpercaya,Positif,sangat bagus percaya
"Ok, terbaik.",Positif,baik
"lengkap , terpercaya",Positif,lengkap percaya
mantap koinnya,Positif,mantap koin
kenapa baru baru ini akun punyaku tidak bisa chek out,Positif,baru baru akun punya chek out
"efisien apa sj yg dicari, di shopee ada",Positif,efisien apa sj yg cari shopee
apk ni sangat bagus,Positif,apk ni sangat bagus
👍👍👍,Positif,
memuaskan cepat bagus,Positif,muas cepat bagus
okay,Positif,okay
shopee is the best,Positif,shopee is the best
siiip banget suka belanja d shopee apalagi suka dapet gratis ongkir 🥰🥰,Positif,siiip banget suka belanja d shopee suka dapet gratis ongkir
Kendala sampai 5 hari tidak selesai kecewa pakai shopee,Negatif,kendala hari selesai kecewa pakai shopee
"bisa ga sih kalo buka aplikasinya itu ga langsung ngarah ke halaman shopee video, ganggu bgt asli malah kalo dipindahin halamannya audio tetap terputar dilatar belakang",Negatif,ga sih kalo buka aplikasi ga langsung ngarah halaman shopee video ganggu bgt asli malah kalo dipindahin halaman audio tetap putar latar belakang
pelayanan nya sangat baik brg sesuai pesanan tolong untuk jasa pengiriman dari shopee jangan yang reguler krn sangat lama.,Positif,layan nya sangat baik brg sesuai pesan jasa kirim shopee jangan reguler krn sangat lama
TERIMAKASIH SHOPEE.... SLLU MEMBERIKAN KEMUDAHAN BELANJA ONLINE.. MOHON DI PANTAU BUAT PARA SELLER YG TIDAK JELAS..,Positif,terimakasih shopee sllu beri mudah belanja online mohon pantau buat seller yg jelas
aplikasi belanja yang bagus,Positif,aplikasi belanja bagus
Sangat puas dengan semua fitur dan jasa pengiriman...,Positif,sangat puas semua fitur jasa kirim
sangat membantu sekali apk shopee ini ...,Positif,sangat bantu sekali apk shopee
"orang"" buka shopee untuk nyari Barang, ngecek barang, bukan mau scroll video, tolong tampilan pertama shopee di ganti jangan pas awal masuk sudah di sodorkan video"" gak jelas, kadang film, kadang video gay, kalau gak video gay, video yang seksi"", tolong di ganti kayak dulu lagi, waktu masuk, tampilannya kayak dulu lagi buka video",Negatif,orang buka shopee nyari barang ngecek barang bukan mau scroll video tampil pertama shopee ganti jangan pas awal masuk sodor video gak jelas kadang film kadang video gay kalau gak video gay video seksi ganti kayak dulu waktu masuk tampil kayak dulu buka video
shoppee is the best,Positif,shoppee is the best
oke,Positif,oke
shopee memang terbaik,Positif,shopee memang baik
master,Positif,master
bgus lengkap semoga bs dpermudah untuk ikut affiliate,Positif,bgus lengkap moga bs dpermudah ikut affiliate
pengalaman sangat baik dan memuaskan selama berbelanja memakai SHOPEE..... sistem yang dibuat sangat bagus dan memudahkan pelanggan dalam berinteraksi untuk segala masalah yang timbul dalam proses berbelanja....👍👍👍,Positif,alam sangat baik muas lama belanja pakai shopee sistem buat sangat bagus mudah langgan interaksi segala masalah timbul proses belanja
apapun ada... Kren ...,Positif,apa kren
update muluu,Negatif,update muluu
shopee is the best,Positif,shopee is the best
barang yg di pesan sesuai dengan pesanan,Positif,barang yg pesan sesuai pesan
"dahlah males banget belanja di shopee mending pindah ke tt shp, sejak j&t di hapus beda banget,pesen barang selalu pakai spx leletnya minta ampun dari jawa ke Kalimantan bisa 2 mingguan padahal kalau j&t 3-6 hari sampai sama sama pakai reguler lagi, yang paling males paket nya sering nyasar sejak pakai SPX bahkan di retur tanpa konfirmasi, mau pakai jne, ninja lokasi saya ga bisa, bisanya cuman SPX si lelet itu, dahlah mending hapus aja si shopee, padahal dari dulu langganan banget pakai shopee",Negatif,dah males banget belanja shopee mending pindah tt shp sejak jt hapus beda bangetpesen barang selalu pakai spx lelet minta ampun jawa kalimantan minggu padahal kalau jt hari sama sama pakai reguler paling males paket nya sering nyasar sejak pakai spx bahkan retur konfirmasi mau pakai jne ninja lokasi ga bisa cuman spx si lelet dah mending hapus aja si shopee padahal dulu langgan banget pakai shopee
bagus,Negatif,bagus
ok lagi di sgala urusan kebutuhan tentu hadir sohpe membantu kebutuhan trimskasih,Positif,sgala urus butuh hadir sohpe bantu butuh trimskasih
merespon sangat cepat dan memuaskan,Positif,merespon sangat cepat muas
shopee sangat membantu cari barang yg saya inginkan saya sangat puas makasi shopee...,Positif,shopee sangat bantu cari barang yg ingin sangat puas makas shopee
"saya betul betul seneng dengan petangkat ini,jadi segala nya lebih mudah.",Positif,betul betul neng petangkat inijadi segala nya lebih mudah
bagus,Positif,bagus
menurut saya 'yes',Positif,yes
sangat membantu,Positif,sangat bantu
bisa g jangan susah2 klu mau login...susah amat sih untuk lokinnya heran biasanya jg gampang...saya kan hp baru lupa kata sandinya jg mau login aja masih harus muter2 dulu...bisa g sih di gampangin aja...q kasih bintang satu dulu nanti klu udah bisa login q tambahin....,Negatif,g jangan susah klu mau loginsusah sih lokinnya heran biasa jg gampangsaya kan hp baru lupa kata sandi jg mau login aja muter dulubisa g sih gampangin ajaq kasih bintang satu dulu klu udah login q tambahin
Sangat membantu,Positif,sangat bantu
"aplikasi ini sangat membatu saya dalam mencari barang""yg susah di temukan di oflain",Positif,aplikasi sangat batu cari barangyg susah temu oflain
ok banget,Positif,banget
"pelayanan bagus dan harga bersaing, mohon bisa ditingkatkan pelayanan ke konsumen agar tetap menjadi pilihan tempat berbelanja",Positif,layan bagus harga saing mohon tingkat layan konsumen tetap jadi pilih tempat belanja
sangat baikk,Positif,sangat baikk
👍👍👍,Positif,
responsif dan gaya baru nya sekarang,Positif,responsif gaya baru nya sekarang
good luck,Positif,good luck
good,Positif,good
mantap,Positif,mantap
murah,Positif,murah
terbaik 👍👍🔥,Positif,baik
"belanja jadi ngga usah pergi-pergi,,, klo masalh beli barang dapet yang zonk atau ngga itu seteli-telitinya kita ajah... kolom komentar bantu banget kita buat pertimbangin suatu tokoo, biar kita bisa jadi checkout atau ngga di toko tersebut",Positif,belanja jadi ngga usah pergipergi klo masalh beli barang dapet zonk ngga setelitelitinya ajah kolom komentar bantu banget buat pertimbangin suatu tokoo biar jadi checkout ngga toko sebut
"suka banget belanja di shoppe tapi alangkah baik nya ada memasukan nomor kurir saat kita mesan produk jadi kalau kita lagi posisi ga di rumah bisa kita kasih tau sama kurir nya, jam berapa ke rumah",Positif,suka banget belanja shoppe alangkah baik nya pasu nomor kurir mesan produk jadi kalau posisi ga rumah kasih tau sama kurir nya jam berapa rumah
okey puas,Positif,okey puas
bagus si aplikasi nya tapi yg bikin gk suka itu jika kita ada di luar tapii langsung di batalkan pengiriman oleh kurir dan langsung di kembalikan padhal cuma 1hari,Negatif,bagus si aplikasi nya yg bikin gk suka luar tapi langsung batal kirim kurir langsung kembali padhal cuma hari
sangat membantu sekali,Positif,sangat bantu sekali
shopee mantap deh,Positif,shopee mantap deh
mantul pokonya,Positif,mantul poko
bagus,Positif,bagus
bagus,Positif,bagus
bagus,Positif,bagus
shopee sangat membantu dalam proses pemesanan barang cepat datang paketnya rapi. sangat membantu,Positif,shopee sangat bantu proses mesan barang cepat datang paket rapi sangat bantu
bagus,Positif,bagus
mantap,Positif,mantap
puas,Positif,puas
mantap dah Alhamdulillah belum pernah kena tipu,Positif,mantap dah alhamdulillah pernah kena tipu
Alhamdullilah terima kasih shopee telah memberikan yang terbaik belanja d shopee selalu oke dan barang juga tidak pernah membuat pembeli kecewa pokoknya shopee yang terbaik dan termurah.,Positif,alhamdullilah terima kasih shopee beri baik belanja d shopee selalu oke barang pernah buat beli kecewa pokok shopee baik murah
mantap min,Positif,mantap min
pilihan aplikasi untuk belanja lebih mudah,Positif,pilih aplikasi belanja lebih mudah
okelah,Positif,oke
mantap,Positif,mantap
labih canggih,Positif,labih canggih
aplikasi belanja paling rekomended,Positif,aplikasi belanja paling rekomended
"Pelayananmu dah bagus shop, cuman harus seleksi penjual nakal yg nayangin iklan sama real beda, salah kirim lah... males balikin. Harus dikasih sangsi. trims",Positif,layan dah bagus shop cuman seleksi jual nakal yg nayangin iklan sama real beda salah kirim lah males balikin kasih sangsi trims
bagus banget,Positif,bagus banget
sesuai foto,Positif,sesuai foto
lumayan tp lama,Negatif,lumayan tp lama
sangat baik,Positif,sangat baik
saya mau mendapat kan focer gratis ongkir 10 plisss🥺🙏😭,Positif,mau dapat kan focer gratis ongkir plisss
"Sangat membantu ,dalam berbelanja online",Positif,sangat bantu belanja online
real pick,Positif,real pick
pengiriman dan pesanan sesuai dgn yg di harapkan,Positif,kirim pesan sesuai dgn yg harap
mantaf,Positif,mantaf
kurir baik2 dan Rama tamah pesanan barangnya juga bagus bagus sesuai Poto pertahankan kualitas yang baik untuk pelayanan dan barang barang nya agar selalu ok semoga sukses selalu Aamiin 🤲💪🙏🙏❤️❤️🌹,Positif,kurir baik rama tamah pesan barang bagus bagus sesuai poto tahan kualitas baik layan barang barang nya selalu moga sukses selalu aamiin
"Gimana nih..paketku dinyatakan hilang olh cs Anteraja mllui email resmi, aku pengajuan pengembalian dana, dijanji 2 X 24 jam, stelah janj itu akan berakhir kok pengajuan pengembalian dana dibatalkan shopee secara sepihak??? aku udah chat live agent berkali² tapi solusi hny ok dbuatkan laporan gak ada hasil. pesanan tgl 4, paket aku cek tiba tgl 7 April smpe tgl 18 April dinyatakan hilang, halo sdh hmpir sebulan ini gak beres² adoh gak pro..idku halimnanung",Negatif,gimana nihpaketku nyata hilang olh cs anteraja mllui email resmi aku aju kembali dana janji x jam stelah janj akhir kok aju kembali dana batal shopee pihak aku udah chat live agent kali solusi hny dbuatkan lapor gak hasil pesan tgl paket aku cek tiba tgl april smpe tgl april nyata hilang halo sdh hmpir bulan gak beres adoh gak proidku halimnanung
"Buka shopee langsung video, Di off sangat sulit, sangat menggangu pencarian barang. Sebaiknya untuk video jangan dijadikan start playing saat membuka aplikasi. sangat menggangu. Terimakasih sebelumnya atas perhatiannya. pee pee",Negatif,buka shopee langsung video off sangat sulit sangat menggangu cari barang baik video jangan jadi start playing buka aplikasi sangat menggangu terimakasih belum atas perhati pee pee
keren,Positif,keren
Pengiriman lama sejak tidak kerja sama dengan J&T lagi,Negatif,kirim lama sejak kerja sama jt
real pict 😀,Positif,real pict
good,Positif,good
"k kenapa terkadang mau cekout otomatis ditolak dgn dalih melakukan aktifitas tidak wajar, padahal kan aktifitas kita dgn shopee ya belanja😪 tolong pulihkan ka saya gk bisa belanja jadinya",Positif,k terkadang mau cekout otomatis tolak dgn dalih laku aktifitas wajar padahal kan aktifitas dgn shopee belanja pulih ka gk belanja jadi
"BUKA SHOPEE Langsung Video, mulai menyebalkan.... Kembalikan seperti semula min..",Positif,buka shopee langsung video mulai sebal kembali mula min
Shopee Ok..,Positif,shopee
semoga jadi lebih baik lagi,Positif,moga jadi lebih baik
kasi bintang lima saja walaupun gak bisa cod,Positif,kasi bintang lima walaupun gak cod
belanja jadi mudah sambil rebahan barang datang,Positif,belanja jadi mudah rebah barang datang
best,Positif,best
fitur nya masih kurang,Negatif,fitur nya kurang
"Solusi terbaik untuk kenyamanan kantongku, Shopee💖💖🫶🫶",Positif,solusi baik nyaman kantong shopee
selama ini masih bagus pelayananya,Positif,lama bagus pelayananya
mantep pokok e. sukses selalu,Positif,mantep pokok e sukses selalu
"kok jadi lama bukanya? jadi lola, loading lama.. buka ig yg banyak videonya aja, lancar2 aja, payah",Negatif,kok jadi lama buka jadi lola loading lama buka ig yg banyak video aja lancar aja payah
iklan apk lo ngeselin,Negatif,iklan apk lo ngeselin
ok,Positif,
iklan lu ganggu,Negatif,iklan lu ganggu
bagus,Positif,bagus
oke,Positif,oke
"aplikasi bagus banget sangat membantu dalam berbelanja bahkaan barang"" yang dijualnya murah meriah juga ada geratis ongkirnya lagi sampai 0% makainya aku kasih bintang 5",Positif,aplikasi bagus banget sangat bantu belanja bahkaan barang jual murah riah gerat ongkirnya maka aku kasih bintang
sangat bagus cuma saat belanja kebanyakan mahal ongkir dari harga produk,Positif,sangat bagus cuma belanja banyak mahal ongkir harga produk
selama belanja di shoppe TDK pernah kecewa sih.. mantap.. kadang terkendala di pengiriman kadang agak lumayan lama sampainya tapi gak pa2 sy setia menunggu,Positif,lama belanja shoppe tdk pernah kecewa sih mantap kadang kendala kirim kadang lumayan lama sampai gak pa sy setia tunggu
Ongkir nya mantap,Positif,ongkir nya mantap
mantab 👍+👍,Positif,mantab
"Sangat membantu krn hrg brg di Shopie murah, tp kdg kita jengkel sm sllernya krn pernah ditipu barang yg sy beli beda jauuh",Positif,sangat bantu krn hrg brg shopie murah tp kdg jengkel sm sllernya krn pernah tipu barang yg sy beli beda jauuh
shope nya skrg aneh,Negatif,shope nya skrg aneh
membantu,Positif,bantu
sᥣmᥲ іᥒі mᥲsіһ ᑲᥲgᥙs,Positif,sm ms gs
baik,Positif,baik
ok,Positif,
mantab banget,Positif,mantab banget
Semua Barang yg Saya Pikirkan ada dsini tmsk yg gk pnh Saya Pikirkan 😂 Suka Belanja dsini krn srg ada Voucher Diskon & Ongkir sehingga jatuhnya mmg lbh murah dibanding olshop lain 👍😍😘,Positif,semua barang yg pikir dsini tmsk yg gk pnh pikir suka belanja dsini krn srg voucher diskon ongkir jatuh mmg lbh murah banding olshop
aman dan cepat,Positif,aman cepat
"20/04/25, 16.06 WIB. Sejam yg lalu Sy complain pengiriman stuck seminggu. Sekarang pesanan Sy yg lain dikirim dgn laporan penerima palsu. 3 mgg yg lalu kiriman lambat smp 10 hari. 3 bln yg lalu kiriman barang 24Kg laporan foto penerima juga palsu. What A BAD RECORD...! Kalau Kamu mau belanja di Marketplace ini, harus siap pesanan Kamu TERLAMBAT LAMA SEKALI atau DINYATAKAN HILANG (diganti maksimal 10x ongkir???...)",Negatif,wib jam yg lalu sy complain kirim stuck minggu sekarang pesan sy yg kirim dgn lapor terima palsu mgg yg lalu kirim lambat smp hari bln yg lalu kirim barang kg lapor foto terima palsu what a bad record kalau kamu mau belanja marketplace siap pesan kamu lambat lama sekali nyata hilang ganti maksimal x ongkir
puas dengan semua produk nya,Positif,puas semua produk nya
shoppe mantap 👏,Positif,shoppe mantap
sukses selalu,Positif,sukses selalu
trimaksih shopee atas kemudahan berbelanjanya dan ongkinya 😊🫶 kita semuaa menjadi happy berbelanja,Positif,trimaksih shopee atas mudah belanja ongkinya semuaa jadi happy belanja
"J&T di hapus dari shopee, Pake SPX paket selalu stuck lama banget di Cakung DC, assuuuu laah",Negatif,jt hapus shopee pake spx paket selalu stuck lama banget cakung dc assuuuu laah
puas,Positif,puas
