full_text,kategori
"SMNJAK SHOPEE UDH GA KERJA SAMA LAGI SAMA JNT SHOPEE BNR BNR JELEK BANGET SUMPAH NAJIS. smua paket gua dianter spx gada yg sampe dirumah, ilang semua. smga pihak shopee bisa aware sama ini kalo gini customer dan penjual yang rugi karena paket mrka ilang entah kemana. shopee tlong baca ini dan evaluasi spx udh 2 paket gua ilang entah kemana!!!!",Negatif
"Maaf, semakin tak nyaman saja nih, baru masuk ke aplikasi langsung ke live, mana tak bisa dimatikan pula🙏🏿🙏🏿, Semakin di update semakin tak nyaman🙏🏿🙏🏿",Negatif
Mohon barang nya cocok dg pesanan.agar pelanggan Merasa puas dgn pesanannya,Positif
ok mantap,Positif
bagus prngirimannya,Positif
"shopi taiii pinjaman lunas pas 2 minggu mau pinjam gak d acc, pinjaman penjol riba laknatulloh .. kawas te doraka wae ... dasar iblis",Negatif
bagus,Positif
shopee memang aplikasi belanja onlen yg paling terbaik,Positif
baguss,Positif
mo beli apa aj ada wes,Positif
mantab,Positif
min tolong kedepannya bisa belanja di shopee kirim ke luar negeri biar produk Indonesia bisa export skala kecil,Positif
"setiap ada iklan shopee di dalam game pasti kalau dipencet tanda silang (melewati iklan) pasti akan ke aplikasi shopee , itu ganggu banget pas ada iklan shopee di game . . . . apalagi hp ku yang kalau keluar game akan ulang kembali/loading lagi saat masuk game lagi",Negatif
semoga amanah,Positif
shoopee bagus,Positif
mantap,Positif
mantap ongkir murah gak kaya apk sblh,Positif
mantap,Positif
Cod di noaktifkan,Negatif
mantap,Positif
jgn suka ksh harapan tiap sebentar iklan ajukan pinjeman percuma aja akun sy di blok klu bisa buka blok akun sy,Negatif
mantap,Positif
memberikan kemudahan dalam bertransaksi,Positif
sophe gratis ongkir pengiriman cepat,Positif
Bagus Bngt👍👍❤️❤️❤️😍😍😍😍😁😁😁😁😁✅✅✅✅✅✅,Positif
mantap...,Positif
dulu saya kasi 1 bintang ktn JNT sangat lama. sejak ada spx jadi cepat,Positif
jangan ragu belanja di shopee barang nya bagus bagus bisa dan murah sekaligus bisa cod,Positif
Nice app,Positif
ok,Positif
menyenangkan ♥️,Positif
mantul,Positif
"biaya layanannya mehongg betull.. udah males pesen shopeefood juga, biayanya bertele tele 😒 mana lemottt bgt lg. ih sebel.. kamu tuu sering ngebug... tolong di perbaiki lagi deh 🙄",Negatif
semenjak jasa pengiriman dirauk sama shope semua pengiriman jadi lama beda sama j&t gais pengiriman cepat mending belanja di tik tok aja di shope mah kurir nya juga suga maen retur retur aja ga ada konfirmasi lagi hade spx spx,Negatif
apikasi yg bagu sekali,Positif
Sangat suka sekali,Positif
bagus,Positif
kasi bintang 4 aja,Positif
josss sesuai barang.semoga tambh laris,Positif
"slku gratis ongkir,dan pengirimannya cepat",Positif
mantap promonya,Positif
mantap,Positif
Aplikasinya setelah diupdate semakin lemot,Negatif
saya suka belanja di aplikasi Shopi karena pelayanan yang baik dan ramah semoga aplikasi Shopi selalu Abang dalam melayani konsumen di mana saja sekian terimakasih 🤩🤝🤝🤝,Positif
semoga shopee berjaya terus,Positif
"mohon maaf sebelumnya untuk pihak shopee. Saya sebelumnya pernah beli susu s-grow di akun dengan nama dr.Chika tetapi susunya expired saya ingin meretur tetapi di aplikasi nya tertulis mohon maaf barang ini tidak bisa di retur, saya sudah chat dengan penjual nya tetapi tidak di respon dan sudah chat dengan pihak shopee nya juga tidak ada penjelasannya, paket saya datang hari kamis, 24 April 2025 dan barangnya expired tanggal 15-01-2025. Terimakasih",Negatif
tempat belanja mantab,Positif
Aplikasi sangat bagus... barang sesuai pesanan 👍👍👍,Positif
good shopee,Positif
bagu bisa belaja geratis ogkir,Positif
kita bisa belanja tanpa mengeluarkan biaya besar,Positif
"shopee dulu bagus dan cepat. sekarang semenjak kurir cuman spx doang kacau. paket dibatalkan padahal sudah dalam pengiriman dekat dengan alamat, paket datang selalu molor dari estimasi bahkan sampai seminggu lebih. lebih baik kerjasama dengan kurir jnt dll seperti sebelumnya daripada pakai spx bobrok pelayanannya. paket sudah dalam pengiriman nunggu 5 hari tiba² di cancel sama pihak kurir shoope. sangat tidak nyaman pakai spx",Negatif
bagus dan sangat berguna,Positif
mohon di aktivkan kembali layanan paylater saya terimakasih,Positif
luar biasa,Positif
mantp,Positif
"pengiriman sangat cepat,kurir ramah,barang sesuai yang di pesan",Positif
bagus barang nya,Positif
"dari dlu pake sopii trus, muali lahiran aku prtma sampe ke 3. sampe anak"" ku di panggil anak sopi",Positif
🤩🤩🤩,Positif
bagus,Positif
suka banget belanja di sini,Positif
sangat puas dengan produk dan pelayanan nya,Positif
"udah 2 kali akun ku terblokir, alasannya krna ada yg mencurigakan. Apa yang mencurigakan coba? sy mau pesan tas malah tiba² ada notif bgtu.",Negatif
mantap,Positif
"saya bertahun tahun memakai aplikasi shopee dari berbagai akun google, TAPI BARU KALI INI SAYA KECEWA, APLIKASI BERAT !! PERTAMA MASUK APLIKASI KITA DI SUGUHKAN VIDEO DAN LIVE ?? KEMBALIKAN SHOPEE YANG SEBELUM NYA",Negatif
Alhamdulillah sangat memuaskan ber belanja di aplikasi shopee,Positif
oke banget.,Positif
"mudah, aman, nyaman",Positif
untuk saat ini buruk ada masalah akun saya dan istri saya tidak terselesaikan semenjak kerja sama sama spinjam dan spaylater,Negatif
belanja online dengan mudah 💯👍,Positif
👍,Positif
"biasa langganan shopee vip udah lumayan lama jg biasanya banyak vocher gratis ongkir 0 rupiah sebanyak 99x kalo ga salah, tp kaget baru kali ini kok gratis ongkir 0 rupiahnya cuma 10x doang yg lain ada min belanja😭 tolong dong pihak shopee buat munculin vocher gratis ongkir 0 rupiah kaya dulu lagi soalnya aku bayar cuma nyari gratong yg banyak kebanyakan sekarang pesan barang ke luar kota msti ada ongkirnya karena aku jualan di rumah nyari keperluan apa2 biasa di shopee makanya langganan vip",Positif
"aplikasi dancu, lemot banget di akses acuuu...",Negatif
sangat baik,Positif
aplikasinya bagus buat belanja,Positif
ongkir mahal amat,Negatif
mantap gan sesuai kebutuhan barang Ok,Positif
shopee is the best,Positif
"Masih ada penjual yg curang, tolong agar lebih selektif, agar konsumen tdk dirugikan. Terimakasih",Positif
Bagus suka dan bagus..,Positif
aplikasi belanja online yang paling bagus 👍👍,Positif
pelayanan kurir sangat tidak baik,Negatif
Lebih murah dan pesanan cepat nyampe,Positif
mantap,Positif
kirimm danaa plc,Positif
bagus banget SPinjam nya .. limit aku naik terus👍,Positif
suka jadi belanja,Positif
very good,Positif
Bagus,Positif
"COD nya hilang, gara-gara kurir nya gak mau ngantar paket saya ke alamat tujuan, saya disuruh ambil sendiri di rumah kurirnya. akhirnya COD saya di hilangkan oleh pihak Shopee. kesalahan dari kurir, tapi imbasnya ke akun saya.",Negatif
mantaap,Positif
aneh yg batalin kurir tpi kmi yg disalahin. mending belanja di aplikasih lain,Negatif
keren,Positif
baru update malah lemot gimana ini,Positif
bagus,Positif
mantap mantul,Positif
mantap,Positif
bagus....meski banyak lapak serupa tapi saya memberi kepercayaan penuh terhadap shoopee untuk belanja keperluan yang TDK tersedia di kota tempat aku tinggal ..dan sejauh ini...TDK pernah mendapatkan hal2 yang tidak mengenakkan dari shopee ...yahhh paling persoalan miskomunikasi aja sama penjual...bukan sama aplikasi ..tingkatkan terus aplikasinya ya...good job,Positif
bagus banget harganya murah murah lagi kualitas yang 💯,Positif
Banyak pilihan produk yang dibutuhkan dan dapat koin yang bisa dipakai untuk diskon harga barang.,Positif
cepat dan pas kalau belanja.,Positif
semoga lebih baik dan lebih lancar proses pengirimannya ke depan,Positif
sangat bermanfaat,Positif
mantap,Positif
shopee memang mantap 👍👍👍 semua suka shopee.,Positif
"1 kata ""nyaman""",Positif
kepada pengembang shopee untuk memperbaiki setiap kali membuka aplikasi shopee selalu masuk ke video tolong jangan langsung ke video terkadang suara video pendek selalu ada padahal sudah pindah ke bagian menu lain,Positif
bagus,Positif
"kok akun saya gak bisa cod ya, bantu dong pulih kn lg",Negatif
buruk ada spaylater gak bisa dipake ada cod gak bisa dipake shopee asuuu,Negatif
sangat membatu saya mencari barang yang saya mau,Positif
"Kenapa aplikasi shopee lemot, terkadang sulit di buka.hp terasa berat sekali karena saat di buka langsung ke live, jadi perlu jaringan yg kencang sekali. mohon untuk segera di optimalkan lagi seperti dulu.. Dan juga akun2 fake untuk di bersihkan ya..",Positif
memudahkan dalam berbelanja,Positif
"aplikasi bagus,pengiriman barang sesuai",Positif
suka bgt sama shopee ...penjual ramah kurir juga ramah barang cepat sampai nya dan kualitas nya juga sepadan dengan harga nya,Positif
gak niat ngasih diskon 👎 langganan VIP percuma gak bisa dipakai voucher nya👎👎👎👎,Negatif
walau pernah ketipu dan beberapa paket dibatalkan shopee hingga produk sold😵‍💫🫨tapi tetap oke masih setia 🤗😄,Positif
"pengiriman telat, malu sama iklan expedisi nya ngacoo",Negatif
😁😁😁😁😁😁,Positif
Gratis ongkir nya cuman potongan 5.000 saya kurangi bintang nya,Positif
Yo AA,Negatif
👍👍👍,Positif
"memudahkan pembelian keperluan kami barang bagus,datang tepat waktu",Positif
mantapp,Positif
"aplikasi shopee sangatlah bagus dan harganya murah dan juga datangnya lebih cepat lagi,pokoknya tu aplikasi shopee itu paling tervavorit untuk ku,jadi kalian harus punya aplikasinya ya supaya bisa mendapatkan diskon dari shopee,cepetan segera donlowd aplikasi shopee sekarang dan dapatkan diskonya",Positif
"Tulisan deskripsi remang remang, jadi ga enak dibaca",Positif
gk bisa cod,Negatif
Alhamdulillah barang yang udah sy terima dengan baik mantep semoga awet terimakasih toko nya amanah semoga sukses selalu dan barokah Aamiin,Positif
lengkap bgt dan pengiriman nya cepett😄😄👍🏻👍🏻👍🏻,Positif
Beres,Positif
"Tolonggg pengiriman nya di evaluasi lagi,masa paket nya malah muter"" terus rute nya ga sampe"" kerumah,terus kalo udh lewat estimasi malah ga bisa di cancel lagi,pdhl kesalahan pengiriman nya sendiri lebih dari estimasi hmpir 2minggu. payah",Negatif
"barangnya murah gak murahan, cepat tanpa ribet",Positif
apapun barangnya klo belanja di Shopee pasti puas,Positif
murah dan berkualitas,Positif
👍Baik,Positif
sangat membantu dan efisien,Positif
amanah,Positif
kecee,Positif
keren,Positif
mantap,Positif
sepp,Positif
semoga amanah seterusnya,Positif
🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,Negatif
"belanjalah di shopee akurat dan memuaskan dan jangan ragu semua produk yang anda inginkan pasti ada apa sih yng ga ada di shopee semuanya ada juga banyak discon dan murah tapi ga murahan dan dengan produk barang sesuai harga.wasalam A,MURODI JATIRAGAS.",Positif
indoverse anjing emang,Negatif
ok,Positif
nice,Positif
sangat..sangat terbantu dgn kebutuhan alat2 pertukangan..dll,Positif
mantapppp,Positif
"paket sampai tepat waktu, mas kurirnya juga ramah, barang bagus, pengemasan sangat bagus",Positif
TOP.......toko yg ga Amanah hapus,Positif
barang real dan pelayanan bagus,Positif
lama proses penhiriman nya,Positif
Terimakasih Shopee barang pesanan saya tiba tepat waktu,Positif
Shoppe semenjak gak kerja sama lagi dengan j&t kurir pengiriman jadi lelet banget bukan nya tambah maju jadi kaya mundur begini perusahaan!! Jadi nyesel saya belanja di shopee !!,Negatif
shopee good,Positif
bagus,Positif
ini saran dari saya kalau bisa cantumin nmr kurirnya biar kalau pengiriman salah ke rumah orang kita bisa langsung tlpn kurirnya iya kalau nyasarnya ke tetangga kita kalau jauh kan gak bisa gimana gimana,Negatif
ok,Positif
mantap,Positif
"shopee emang luar biasa, tempat belanja online terbaik",Positif
pesanan sudah datang makasih,Positif
Ada SELLER (TOKOSHENAR88) TIDAK MAU MENGEMBALIKAN UANG. PADAHAL BARANG SUDAH DIA TERIMA. !!!,Negatif
"Aku suka banget beli apasaja di shopee ,karna sering dapat diskon dan gratis pengiriman, trimakasih shopee.",Positif
suka🫰,Positif
senang berbelanja di shoope,Positif
"shopee jgn hilangin mode HEMAT dari shopeefood pls.. berguna bgt buat anak kos kyak aku, tengs shopee",Positif
bagus,Positif
minta diskon yg banyak. ..,Positif
"sering gratis ongkir gara""uda ada spx",Positif
belanja mudah harga hemat barang sesuai deskripsi,Positif
"secara keseluruhan Shopee bagus. Tetapi ada juga penjual nakal di shopee, mohon pihak shopee untuk mengeluarkan penjualan yang nakal. terimakasih",Positif
"penyelesai an masalah yang lambat dan/atau tidak tuntas berlarut larut, tidak ada sanksi untuk kurir yg nakal .. hati hati gunakan sPayLater, sy gunakan fasilitas itu..dan sering sy bayar semua cicilan nya alias lunas... tetapi ketika kita terlambat 2 hari saja 2 bulan terakhir maret april 2025, kita diteror dgn telp yg tidak dikenal bisa 5x lebih dalam 1 hari.. ketika kita bayar..telp telp itu lsg hilang...😡",Negatif
ok,Positif
saya suka:betul betul betul,Positif
Bagus dan manfaat,Positif
Menyala shopee🔥🔥😭,Positif
"knp saya kalau daftar shopepay selalu ditolak padahal data sudah valid , ini sungguh mengecawakan",Negatif
bagus,Positif
"huh, kenapa sih setiap buka Shopee selalu ngeleg seperti pas jaringan lagi bagus eeh tiba tiba gak bisa lihat produk juga gak bisa nonton video Shopee",Negatif
memuaskan,Positif
sangat bermanfaat,Positif
"pkoknya puas belanja di shope .ada sopylater jd bs kredit barang2...limit jg bakal bertambh trs....hapus aja apllikasi2 belanja yg laen...gak guna,,",Positif
no koment,Positif
mantap banget 👍👍👍 pengiriman nya tepat waktu cepet lagi 🤭🤭🤭🤭,Positif
"sekarang malah sering keberatan di ongkir,biaya penanganan nya juga besar kali sekarang.",Positif
bagus,Positif
terbaik,Positif
Pokoknya shopee yg terbaik mantap dari duru sampai sekarang ttp ok ok ok mantap Shopee,Positif
keren banget,Positif
"Shopee food and verry good, serba ada konplit banget...👍🏻",Positif
smakin mudah berbelanja dan barang juga sesuai harga serta terjangkau,Positif
"sangat""puas dengan aplikasi shoope👍",Positif
sekarang buka shopee lgsg video makin mls aja .. mending ky dl aja,Negatif
TOLONG ADAIN FITUR EDIT PENILAIAN LEBIH DARI 1 KALI DONG PLISSS BANGET SALAH MASUKAN FOTO DI PENILAIAN 😭,Positif
mantap bagus baik pula pelayanannya cepat da terarah sangat sangat melayani kebutuhan rakyat indonesia,Positif
sukses selalu shopee,Positif
i like,Positif
aplikasi gak jelas blokir aja paket seminggu nungguin saat di cek malah di bawa muter²,Negatif
baguss,Positif
Good Job 👍👍👍,Positif
cepat n barang bagus harga murah sesuai barang,Positif
sangat membantu untuk keperluan keluarga,Positif
Good mantab is the best,Positif
shopee makin baik aja kualitas barang ny,Positif
bagus mantaf 👍👍👍👍,Positif
gooood,Positif
sekarang banyak bug di aplikasinya buat hubungin CS di live chat selalu gagal kayak gini kak aplikasi shope sekarang sangat tidak whort it sama sekali,Negatif
bagus dan free ongkir murah,Positif
"masih banyak toko2 yg kurang amanah,beli 2/3 dikirim cuma 1. kadang barang tidak real picture.",Positif
aplikasi ini sangat bagus,Positif
marketplace terbaik di Indonesia,Positif
good luck,Positif
mantap,Positif
"anjin*, tiap buka aplikasi selalu video yg muncul, bikin quota cepat habis, pakai otak dong...dialihkan ke menu utama tetap muncul video dan suaranya. asu.....",Negatif
Terimakasih Shopee Telah Membantu kendala Payletter.. semoga shopee makin jaya selalu dan makin luas.. jgn lupa bagi2 give awaynya juga ea admin shopeee..,Positif
mntaaap,Positif
"banyak barang menarik, tapi belum ketemu yang mau di cari",Positif
👍👍,Positif
sudah langganan shopee dr dlu tp tahun ini nggak banget kak banyak penjual TDK jujur barang tidak sesuai difoto malah saya dituduh macam2 . kurir juga lelet gtw jam operasional toko jam 9 malam keatas barang ditaruh depan rumah resiko hilang untung aja ga ilang Krn ruko saya depan jalan raya tokonya,Negatif
poko nya bagus aq sngat suka dan g prnah kecawa belanja di sini,Positif
skrng shopee pakai spx jd lambat akhirnya..dulu pakai jnt notif jam 7 pagi selang 2 jam sampai...skrng pakai spx notif jam 7 pagi bs sore bru sampai...stlh di tanya ternyata orderan pagi dan siang di kirim jd satu...dn spx barang selalu nginap di setiap kota jd malah tmbh lama datangnya...satu lagi klo bs buka shopee beranda jgn hanya video...tampalkan semua stasiun seluruh dunia...jd gk ush belanja nonton berita dn iklan,Negatif
paling asik pokonya,Positif
aplikasi anjg ini memang ngelak kali padahal jaringan aku bagus jangan di download lebih baik pakai Tokopedia,Negatif
sangat bgus,Positif
tambah lagi diskon dan cashback nya,Positif
puas blanja di shopee,Positif
mantap,Positif
semoga bermanfaat,Positif
saya sgt puas blnja disini,Positif
sangat membantu👍👍👍,Positif
alus,Positif
tidak pernah ada konfirmasi barang datang tau² di balikin ke penjual,Negatif
jangan ragu belanja dishopee.,Positif
setiap beli di sini selalu muraah,Positif
murah dan berkualitas,Positif
bagus...,Positif
KALO PAKET DIBATALIN SHOPEE BERMASALAH DAN ALAMAT TUJUAN NYA LAMA!,Positif
"shopee paling top, aku baru belanja disini, sesuai dengan apa yang aku inginkan👍🏻",Positif
josss,Positif
"bagus si,cuman kadang lama dibuka aplikasi nya",Positif
aplikasi ini hanya memakan ram hp kalian,Negatif
bagus,Positif
"sejauh ini makin bagus,, the best pokoknya",Positif
puas,Positif
proses cepat banyak promonya,Positif
Sejauh ini tidak pernah mengecewakan,Positif
"knp kasi bintang 2 soalx sistem cod x langsung gk ada saat mau pesan cod ,gk tau knp padahal uda enak pesan cod",Negatif
good,Positif
terbaik untuk shopee,Positif
ok jg,Positif
barang murah dan kualitas bagus,Positif
"dg shopee ,sangat terbantu",Positif
mantap,Positif
good,Positif
usaha mandiri,Positif
lumayan,Positif
👎👎🤢🤢aplikasi gak jelas👎,Negatif
mempermudah dalam mencari kebutuhan dan perlengkapan rumah tangga sehari hari,Positif
Bagus Gaayss,Positif
Semoga semakin amanah dalam melayani konsumen agar kami puas dalam membelinya sukses selalu Shopee dan Para partner ny SEMAKIN MAJU oh iya satu lagi mohon untuk dicantumkan nama expedisi dan nama kurir yang mengantarkannya,Positif
cocok,Positif
kalau co selalu gratis ongkir Padahal kirim ke Jayapura 👍,Positif
mantap,Positif
"pelayanan,pengiriman,produknya sesuai,...mksh ya...",Positif
mempermudah kaum rebahan untuk belanja,Positif
mnto,Positif
𝐛𝐚𝐠𝐮𝐬𝐬 𝐭𝐚𝐩𝐢 𝐤𝐮𝐫𝐚𝐧𝐠𝐢 𝐡𝐚𝐫𝐠𝐚 𝐦𝐚𝐡𝐚𝐥 𝐧𝐲𝐚 𝐤𝐚𝐬𝐢𝐡 𝐝𝐢𝐬𝐤𝐨𝐧𝐧,Positif
"Aplikasi mudah digunakan, banyak promo dan mencari apapun ada... metode pembayan juga fleksible dan kurir yang dipilih juga selalu update bila mau kirim barang.",Positif
sangat puas,Positif
mantaapp,Positif
Ya cuma kerja sebagai seorang nelayan tak banyk pengalaman bos,Positif
banyak gratis ongkir,Positif
Bgus di uninstall aja gays masak bayar pake shope pyleter bunga nya dua kali lipat sekali orang mau cod aja gak bisa aneh banget yaa,Positif
Selama beli di shopee dapat barang yang sesua hrg dengan kualitasnya,Positif
Terbaik,Negatif
Jos,Positif
okk sip,Positif
Tolong tambahkan fitur pembayaran menggunakan Dana🙏,Positif
"shopee, tempat belanja yg luar biasa, apapun ada tanpa hrs keluar rumah",Positif
baik,Positif
belanja jadi mudah,Positif
ok,Positif
sangat memuasakan,Positif
menyenangkan,Positif
selalu utamakan pelayanan dan kualitas,Positif
mantappp pokok nya,Positif
"aku suka dengan Shopee pelayanannya bagus dan koin harian bisa jadi berkurangnya harag belanja, aku suka ngumpulinnya sampai ribuan😁kalau aku sering hapus Shopee karena ram aku gak memungkinkan, 🥲tapi setelah itu aku download lagi kok dan hapus aplikasi yang gak terlalu penting, 😁sukses selalu Shopee dan penjual² produk menggunakan Shopee 😘",Positif
sangat mudah proses nya,Positif
shopee game-nya penipuan! 🤬😡,Negatif
mantap bener,Positif
culas satu transaksi lagi member platinum begitu transaksi keesokan hari jadi 64 transaksi lagi koplak,Negatif
trimah kasih klu order ada yg salah d.infokan dulu sebelum d.kirim jadi yg salah bisa kita liat dulu mantaap,Positif
beli di shopee pee pee pe pe,Positif
amanah,Positif
senang blanja di shoppee jd g prlu cape jln kmna2. Banyak puasnya drpd kecewanya.,Positif
"pernah ketipu, smga aj GK semua toko yg seperti itu.",Positif
nih shoope mantaf lah pokonyaa,Positif
pengalaman saya belanja di sopy ya belum pernah kecewa,Positif
"live streaming shoopefood ganggu banget, videonya gak bisa di pouse jalan terus saat mau cari makanan bener² menggangu!!",Negatif
bagus,Positif
good,Positif
ontime,Positif
ok,Positif
oke lah,Positif
maaf kok apk Shopee ku kok tdk bisa cod padahal tdk pernah pelanggaran,Positif
mempermudah transaksi barang maupun tunai,Positif
mantap,Positif
😂😂😂,Positif
michatku ga bisa dibuka,Positif
sangat baik,Positif
aplikasi bagus dan sering ada voucher,Positif
sangat memudah kan,Positif
saya sebagai penjual semenjak ada kompetisi shopee harga termurah bikin persaingan harga makin gak sehat.....sangat merugikan perintis,Negatif
keren,Positif
semoga pesenan barang lebih cpt LG ....,Positif
sangat membantu untuk mencukupi kebutuhan,Positif
sangat membantu dan memuaskan,Positif
"shopee tidak aman , shopeepay saya di bajak tiba2 di history ada pembelian tanpa saya membeli. kata sandi hanya saya yg tau .rugi saldo hilang ,, masi untung bukan pay leter",Negatif
"Harganya lebih murah, banyak gratis ongkir.",Positif
kenapa tidak bisa cek out sih tolong plis kenapa tidak bisa kenapa ha 🙏🙏🙏🙏🥺,Negatif
Sangat membantu...,Positif
SAYA UDAH 3MINGGU MINTA BUKA KAN AKUN SAYA BELUM DIACC UDH LAPOR SNA SNI MASIH BELUM KEBUKA AKUN SAYA .KARENA KTP BISA DAFTAR AKUN CUMA SKLI .RIBET LEMOT RAPORAN/PENGADUAN SHOPEE . KALO SAYA INGET EMAIL SAMA PW GAK AKAN SAYA LAPORAN KE SHOPEE .ORNG KANTOR LEMOT LAPROANNYA,Negatif
saya sangat kecewa dengan shpeee ats pelayanan yang tidak baik saya sudh merasakan pengiriman selalu di tunda,Negatif
sangat puas,Positif
Assalamualaikum warahmatullahi wabarakatuh mantap keren banget 🥰🥰🥰,Positif
bagus,Positif
gak jelas anjirr.... makin lama pelayanan makin buruk.... paket yang gw lacak udah deket rumah tiba2 di kirim Balik makin jauh.... aneh. 😡😡😡,Negatif
membantu banget,Positif
senang belanja di shopee harganya murah,Positif
bagus,Positif
boleh la,Positif
sangat membantu keperluan belanja online saya.,Positif
baik,Positif
jos,Positif
pelayanan bagus,Positif
aplikasi nya udah baguss,Positif
slalu terbaik,Positif
ok,Positif
bagus,Positif
bagus,Positif
mantap buat yang malas pergi ke sana sini beli yg di buth kan disni aj,Positif
good Job,Positif
ok juga,Positif
nyari barang cepat,Positif
sy akan menggunakan aplikasi ini juga bisa,Positif
aplikasi ini sangat bagusss,Positif
pelayanan shopee mantap👍👍👍👍👍👍👍,Positif
Terbaik🥰,Positif
akun rusak gk bisa dipake cek out,Negatif
buka apk kok lgsg live & vidio,Negatif
Shopee koyo asu,Negatif
mantab,Positif
Shopee memang oke...,Positif
slalu ok,Positif
mntappp,Positif
bagus,Positif
mantapz. sungguh membantu. Terima kasih,Positif
memudahkan,Positif
sangat membantu kita,Positif
mantap lah,Positif
cepat murah dan aman barangnya...mksh shopee,Positif
keren,Positif
"awalnya sangat bagus tapi akhir-akhir ini jadi kesal, tiap kali buka applikasi ini video/live langsung jalan sendiri dan itu sangat menggangu saat kita ingin mencari barang tertentu, selain itu pesanan lebih sering melampaui estimasi penerimaan yang diberikan. Tolong applikasinya dibenahi dan kecepatan pengirimannya ditingkatkan lagi demi kenyamanan dan kepuasan konsumen.",Positif
bagus,Positif
Aplikasi ini sangat beruguna belanja pun jadi sangat gampang saya suka aplikasi ini terimakasih Shopee saya kasih bintang 5,Positif
sangat membantu,Positif
"sangat bagus aplikasinya memuaskan, produk yang ditawarkan nggak mengecewakan saya. pengirimannya sangat tepat dan pelayanannya sangat bagus...terima kasih shopee",Positif
👍,Positif
aplikasi nya bagus,Positif
puas,Positif
pengiriman tepat waktu dan kurir nya sangat sopan serta ramah,Positif
mantap jasa kurirnya banyak ok,Positif
sangat puas ketika menggunakan aplikasi shopee,Positif
Shopee bagus murah,Positif
barang nya bagusss dan murahh,Positif
bagus,Positif
pastii dong butuh banget buat beli barang online,Positif
puas,Positif
bagus produknya memang ni aplikasi mantap,Positif
saya daftar shopee later selalu di tolak,Negatif
apk nya sangat di percaya,Positif
mantap,Positif
Aplikasi Paling Cocok untuk berbelanja karena harga barang nya sangat murah murah,Positif
Aplikasi ini sangat membantu semoga sukses shopee,Positif
lumayan bagus jjjjjjjjj,Negatif
bagusss bangettt kalo belanja online shopee,Positif
"nilai 0,karena iklan sangat mengganggu",Negatif
bagus,Positif
terima kasih perwakilan blaem blaem setelah berak sembarangan 😘,Positif
pelayanan cepat,Positif
seru banget banyak gratis ongkir,Positif
informasi jasa kirim buat spx express nya bodoh,Negatif
saya kasih bintang 5 walaupun sp saya di bekukan tanpa jelas,Positif
mantep,Positif
pertahankan ketepatan.waktunya dan mutunya,Positif
Mohon nama Kurir dicantumkan saat paket dalam pengantaran....contoh seperti Ninja express,Positif
"barang nya bagus,, terima kasih",Positif
SANGAT WOWWWWW,Positif
sangat bagus belanja di Shopee 👍🏻🤝👏🏻👑,Positif
"recomended bgt , ditambah kurir nya yg baik2 dan sopan mantappp .. sukses selalu shopee",Positif
bagus,Positif
sangat bermanfaat sekali terima kasih,Positif
lmayan,Positif
semoga selalu amanah,Positif
masih baru,Positif
shoppe 👍 is the best 👌,Positif
buat aplikasi nya lebih ringan,Positif
"penggunaan voucher terbatas ,apk jelek sampah",Negatif
Verry good,Positif
bagus,Positif
kasi fitur nomor kurir tertera dong biar kita pembeli tauu nomor kurir yg mau ngrim paket kita,Positif
"spinjam San spay later saya di bekukan, saya minta di hapus data saja malah gag di hapus².",Negatif
Pengajuan spinjam gak di acc,Negatif
sangat puas,Positif
"memuaskan,mudah berbelanja",Positif
"ga usah datang ketoko,kalo toko amanah barang sesuai.",Positif
keren,Positif
saya beli di shopee barang datang dengan aman dan sesuai,Positif
"berbelanja lebih mudah, lebih cepat, dan lebih hemat..",Positif
bagus,Positif
sangat membantu sekali...,Positif
cepat penerimaan,Positif
mantap sukses selalu,Positif
ok,Positif
Trmksh shopee memudahkan belanja online.cuma hrs pinter2 pilih prodak karna penjual nya bnyk dan tak semua produk nya sesuai tergantung toko nya yg amanah.,Positif
Aplikasi shopee sangat bagus dan harga terjangkau. 👍,Positif
suka sekali,Positif
"pengiriman cepat jg kemasannya bagus tapi sangat di sayangkan harusnya kurirnya tetap jadi tau tempatnya yg pesan jg biar nggak tanya2 lagi,klau di jakarta kurirnya tetap itu itu saja jadi sudah tau tempat tinggalnya jg akrab,tlg itu aja",Positif
oklah,Positif
keren,Positif
aplikasi yg sangat membantu,Positif
mantap,Positif
"kenapa si shoppe sekarang enggak bisa milih ekspedisi, aku gak mau ekspedisi anteraja padahal paket sudah sampai tapi belum diantar kurir. apa gak ada kurir atau gimana, klo bisa milih ekspedisi kan enak bisa pilih sendiri yg mana ekspedisi yg bagus dan amanah.",Negatif
baguss,Positif
super lelet shope di tambah kerjasama dengan spx jadi tambah lelet,Negatif
sangat bagus,Positif
okesip,Positif
kirim chat ke penjual gagal terus,Negatif
"Mbantu bagi org yg cari ongkir murah, walau kadang telat",Positif
cari barang apa aja ada kaya kantong ajaib doraemon murah dan kualitas y lumayan sangat membantu masyarakat,Positif
bagus,Positif
Aku belanjanya di shopee,Positif
"Saya sangat suka belanja di shopee ,, harganya murah,, jadi ingin belanja terus deeh ..👍👍👍👍👍",Positif
"spx lambat, kecewa sudah gak ada j&t dulu shopee sbelum ada spx juga di bantu j&t kau rame wkwk",Negatif
